intervention,label,intervention_type,direction_definition,challenge,modulation_fraction,native_parameter_value,simulation_status,hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,composite_loss
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.78,0.21999999999999997,ok,0.0,2618.7671324963576,5027.384212574899,19472.181849250162,61.53708317396827,7.913585154948203,425.71841949663985,74.23107752669773,26.5,25.25611088361414,6968.833854405571,2086.96915101635,108.48012172284213,38.823586932621566,11.626569086442062,56.23688598003001
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.79,0.20999999999999996,ok,0.0,2645.910045609493,4970.324041458919,19673.400126268574,61.489470991941516,7.909687574553718,426.06227087947366,75.78322787687364,26.5,23.972062829415265,6747.49389970113,2056.779220202393,109.60111490957424,37.590495262958946,11.458380056837843,56.148382283778375
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.8,0.19999999999999996,ok,0.0,2677.383382789493,4931.5491628542095,19890.981035588382,61.45716976159904,7.905324758583792,426.4100881645623,77.43058430991559,26.5,22.596668456323854,6526.932820174019,2027.467973143818,110.8132648222194,36.36174273077448,11.295086201358318,56.063538954963484
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.8099999999999999,0.19000000000000006,ok,0.0,2713.7848631111983,4917.599365185177,20127.400960184867,61.447384265571124,7.900654320032064,426.76170304857703,79.1692206350967,26.999999999999996,21.133644178521152,6307.667835796004,1999.2050378706545,112.13036746621097,35.14021078437886,11.137632522956293,55.988738061181316
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.82,0.18000000000000005,ok,0.0,2757.248870193259,4936.849421192426,20385.62300579938,61.470651018378284,7.8954841003221965,427.1169666194055,80.99524657807747,27.5,19.58664289484244,6090.377862466001,1972.1600097902992,113.56893039442552,33.929681685047356,10.986963842842894,55.92946448324888
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.83,0.17000000000000004,ok,0.0,2809.685247284601,5000.296766390552,20669.40816794683,61.54085958183967,7.889594886033049,427.47563848189327,82.89551496981608,28.0,17.968557788507724,5875.948929660486,1946.4927213632036,115.14990622811604,32.735091530141986,10.843970592552667,55.89437956299461
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.84,0.16000000000000003,ok,0.0,2874.4398085539856,5121.490116245715,20983.33328508139,61.677829430889105,7.883074498288818,427.83753626637844,84.84494478297583,28.5,16.30417295286783,5665.482513241745,1922.3323320579045,116.89879267454813,31.56257667544148,10.709372323442365,55.89963468746381
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.85,0.15000000000000002,ok,0.0,2955.7078585229474,5315.857011098204,21332.786413336915,61.90570392453757,7.8756396116230105,428.2023465287615,86.80589644696732,29.5,14.63082453309788,5460.164841418893,1899.7526483818008,118.84560675953713,30.418745634645642,10.583580213826188,55.96644002535868
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.86,0.14,ok,0.0,3059.783477000887,5601.990556264707,21724.356239155175,62.257459410419344,7.867213490919931,428.5698284598914,88.72994312337224,31.0,12.996605273653643,5261.2632725330295,1878.7720413989043,121.0270542571319,29.31065889990546,10.466696609464648,56.123279744058145
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.87,0.13,ok,0.0,3194.6201184725287,6010.515607246818,22165.51560724682,62.769677913057265,7.857732691737816,428.9396780097906,90.56400464618231,33.0,11.454244819478163,5069.721373443569,1859.305702992615,123.48476661418842,28.243573111106233,10.358249041741587,56.40420400322693
