t,u,glucose_mgdl,insulin_mU_L,glucagon_pM,GammaHGP,GammaPGU,GammaHGU,Secr,GammaPCR,MIPGU,MIHGPinf,MCHGP,MIHGUinf
22.0,0.8,165.52830022219257,92.48527265749686,7.772776087548078,0.18686127870077446,4.025127829755272,1.601369246180851,122.24617710844943,6.06993328625804,12.72610928299575,0.0700003641931164,0.7033220157702047,1.9915173877066181
24.0,0.8,151.07672615238758,82.794899450844,7.608997357611661,0.20491571115322674,3.592820515127778,1.4020989567738553,104.20255552496008,6.071203041243498,12.333070441932861,0.07000367081250092,0.6937922236217007,1.9818232524773678
26.0,0.8,138.24155064004225,73.80705392355758,7.470021243182915,0.21763178473193137,3.161260427943978,1.1345675855582604,88.52929763494208,6.075853207247448,11.761839774372454,0.0700294865020894,0.6864130268375932,1.9639431070679922
28.0,0.8,127.15232181552103,65.54876403469224,7.3531119631426,0.2251932138835172,2.7341939573896767,0.8733509521030238,75.20933925798371,6.089664156571528,10.976696573516804,0.07018773512920928,0.6809328508271864,1.933972346632737
30.0,0.8,117.7627659056367,58.040342413051334,7.257311336249599,0.2288700259856065,2.3188986483527882,0.6582466065431364,63.87017664052442,6.1238799452019155,9.972601346014603,0.07095852612425646,0.6772521241357953,1.8880618896928583
32.0,0.8,109.9261661388773,51.26561197001896,7.184285293543432,0.2299753262783313,1.926678882830234,0.4945566344968946,54.110263406805835,6.197000319421776,8.793964893489573,0.07401288827998398,0.6754952111214474,1.8231385192705654
34.0,0.8,103.4520185205345,45.1766191711537,7.139188449129088,0.22967139628542577,1.5707929098567477,0.37414960493661287,45.63866495709503,6.335735002390796,7.532498140835277,0.08409444906784569,0.6760821862934525,1.737588585015318
36.0,0.8,98.13254370345008,39.71312561326736,7.131490910607721,0.22926833477600214,1.262286446828586,0.28674516412517587,38.28068870238435,6.574944822941448,6.298340913074567,0.11222350722224639,0.6797953130614448,1.6318739543729122
38.0,0.8,93.75589887071244,34.81533169116272,7.175209688501537,0.2307313264474865,1.00634480956414,0.22345825317011103,31.931735024578675,6.9570649856668485,5.182318691543678,0.17870505469094944,0.6877913977651711,1.508797710645163
40.0,0.8,90.137777633535,30.43922542465418,7.290079022563296,0.23735526742861468,0.8019564210187243,0.17759005348507748,26.535789740798737,7.528394128907627,4.235496823054243,0.30980025800683586,0.7016847585881251,1.3736080963921689
42.0,0.8,87.1210396410066,26.547751137673487,7.500442793481485,0.25405407752597653,0.6432599916454314,0.14430338114429658,22.041921725632648,8.330935123655108,3.4688886880350203,0.5207864573179488,0.7234275667753916,1.2330595507601965
44.0,0.8,84.58673948792516,23.107263278860216,7.831722714062184,0.28651075342433396,0.5222061671742182,0.12021657311292913,18.39492190862545,9.385861023843084,2.8669820702387065,0.7940528890631184,0.7549725904670405,1.094172192687537
46.0,0.8,82.46227576661623,20.090303930227787,8.305545128436082,0.33952467128350444,0.43077549603705606,0.10301404539455845,15.54051676874506,10.668711833243362,2.403064436215824,1.081209079325704,0.7978116720936408,0.9633909224017189
48.0,0.8,80.7153141372994,17.474886584411873,8.932468234780726,0.41552564192818947,0.3620366923715208,0.0911072237621811,13.423088875078387,12.09028709062836,2.0490468687929573,1.3346253097410654,0.8523242498204566,0.8459754666680456
50.0,0.8,79.3326018397825,15.232145899514247,9.699699587986933,0.5134804844799964,0.3103079016474874,0.08331578398698637,11.96952856297554,13.512136558221524,1.7793532162683379,1.5327184185824287,0.9168085615851298,0.7450297297880422
52.0,0.8,78.32445261491455,13.342797042271124,10.573886748832242,0.6294840320509661,0.27138499432564606,0.0788709824199275,11.123005146664902,14.765993253622737,1.573939724517623,1.6750679426162172,0.9878287381233182,0.6626417746413572
54.0,0.8,77.69277046791794,11.777745343429013,11.49886872682223,0.7566807726092669,0.24202066446247025,0.0771421605092837,10.819226845378807,15.718832945014846,1.416682460306915,1.7718785871189358,1.0603302314445255,0.5990621149339366
56.0,0.8,77.43715638436927,10.652795231654157,12.40344958632654,0.8838867136812365,0.21992634402388117,0.07775880681285659,22.864026447180773,16.071575026011995,1.295952464127729,1.7140727592424838,1.1285055373552524,0.6379212203271875
58.0,0.8,77.528116419081,11.061187030257976,13.113536457072565,0.9742886660873714,0.20419051326700055,0.0805922092633512,35.768100346993,15.054563621458852,1.2076460286800987,1.3374647690887882,1.1794357678048613,0.8446047471845672
60.0,0.8,77.85191393841073,12.495610005914864,13.505027656749434,1.008894065983843,0.19435533623131537,0.0842468563007762,39.449686355263026,13.680134968240244,1.1503216398196727,1.0039490657431989,1.205067232033823,0.9982197234395284
62.0,0.8,78.26987941770233,13.740518901320625,13.647215427099704,1.0087303631533617,0.18886247232507464,0.08734096596569141,37.26580829450947,12.758978782201218,1.1159991296718088,0.8745501776464157,1.2117124525781964,1.0568855806448456
64.0,0.8,78.69709357989987,14.298840334415186,13.661626015276413,0.9982265932627826,0.18588570433848295,0.08947085955875007,33.875934121098936,12.333719899653943,1.0949136227716902,0.8769791976894394,1.2088718387101745,1.0557731883674237
66.0,0.8,79.10686035302159,14.293341274514749,13.631962762264381,0.989565828027338,0.1840853916534517,0.09084276852312291,31.52786532983992,12.202921342739744,1.079889942416723,0.9275223434107511,1.2028854454328337,1.0327480870382193
68.0,0.8,79.50182182234148,14.02614732255493,13.597043151873565,0.9857535042445329,0.1827556684270861,0.09180770762687758,30.570456634414285,12.187981102305939,1.0672183547361342,0.9769724726371803,1.1966585756315424,1.010383337440324
70.0,0.8,79.89175878419948,13.728857567443631,13.56643981758233,0.9854220590177114,0.18164773432087378,0.09263559146372112,30.546291906356224,12.179795762337712,1.055670490447464,1.0065367980145452,1.1908980498242965,0.9970536214812635
72.0,0.8,80.28319815717892,13.50579766568588,13.536272944983228,0.9862081613739252,0.18073525574600666,0.09345999117600698,30.869114963737278,12.13604427848643,1.0451958942175814,1.0175369775646144,1.1853064015329597,0.9920973304903714
74.0,0.8,80.67735564128537,13.370138054721156,13.500297132901931,0.9864609801990044,0.18005309346087917,0.09431174912601935,31.183964098209582,12.057528348918193,1.0360386807250723,1.0184613455056502,1.1794179301159486,0.9916808761838235
76.0,0.8,81.0718115098282,13.291789507095993,13.455239635111507,0.985586264422751,0.17961115438186728,0.09517261895420005,31.33164490592994,11.962593428248786,1.0282825908386295,1.0171828395225477,1.1729895590412802,0.9922568806836951
78.0,0.8,81.463101012073,13.237963456878674,13.401197843541187,0.9837049522029825,0.17938820132855102,0.09601709706153325,31.324585176367314,11.86738882802028,1.0218280840780576,1.0176950798546212,1.1660323463533153,0.9920261006514076
80.0,0.8,81.8481826840335,13.187622900295928,13.340217865884965,0.9812074315216206,0.17934402506226485,0.09682968081799562,31.24490095839938,11.780457846017628,1.0164681642585283,1.0209015371917578,1.1587032288671053,0.9905815115406003
82.0,0.8,82.22529074940445,13.132952385231391,13.274970391591006,0.9784714503593114,0.17943098079010078,0.09760852075457158,31.12986042652156,11.703461285193956,1.011951140887037,1.0260505483536653,1.151200036288626,0.9882617789644573
84.0,0.8,82.59358474612118,13.074206166465322,13.207579269654312,0.9757316129005106,0.17961154075308344,0.09835915843904483,31.010696750579825,11.63476760830667,1.0080784762354993,1.0321176267659091,1.1436798966837867,0.9855283725464214
86.0,0.8,82.95267315512999,13.014408386004806,13.139511750873679,0.973103997965641,0.17985932772867602,0.0990892990571492,30.92347737831456,11.572049102249386,1.0047116831822862,1.0383477101988263,1.1362524395244236,0.9827213080942722
88.0,0.8,83.30280381917673,12.956303126415484,13.071681265594627,0.9706196880543168,0.18015468307479843,0.09980643892293399,30.841740263483825,11.513397198090459,1.0017422605598911,1.0443810360763504,1.1289797063044256,0.9800025377781293
90.0,0.8,83.64419118805257,12.9012587044745,13.004617351446553,0.9682803596971951,0.18048543264901407,0.10051560197394892,30.76087985703571,11.457804266508127,0.9991018101303846,1.0501470934931532,1.121897137884568,0.9774037440357041
92.0,0.8,83.97706360277847,12.849503207581128,12.938666178042324,0.9660825742937378,0.18084301492664395,0.1012199455202406,30.68085700556655,11.404863994886323,0.9967402856413257,1.0557038678943678,1.115026594935599,0.974898731304967
94.0,0.8,84.30178126416376,12.800602366147862,12.87406709685627,0.9640238362105088,0.18122052279880696,0.10192145516568958,30.587272444139984,11.354453123002921,0.9946141593421256,1.0611360298402315,1.1083799972769428,0.9724492709635983
96.0,0.8,84.61838423059885,12.754045232970338,12.811080100827045,0.962115591037236,0.18161293344286006,0.10262139673713494,30.517169187004228,11.30657015152946,0.9926941780754763,1.0665016877216151,1.1019762828821538,0.9700290921151341
98.0,0.8,84.92750257188673,12.709238524088132,12.74981244486571,0.9603552482662274,0.18201502554643853,0.10332092200901706,30.426843538478135,11.261113343903217,0.9909422163889419,1.0718321032347038,1.0958138678838558,0.9676240159078511
100.0,0.8,85.22921082898922,12.665885534999743,12.690462992127227,0.9587560965567579,0.18242330737851076,0.10402100637806942,30.35784148932311,11.218006852155208,0.9893372464194465,1.0771317656167967,1.0899074362554988,0.9652319352879406
102.0,0.8,85.52420464255043,12.623698207300741,12.633033148126032,0.957310292451268,0.18283443525286602,0.10472260338210782,30.26333933452297,11.177058982198984,0.9878508825080923,1.0823993108718546,1.0842471513067862,0.9628533871330226
104.0,0.8,85.81256892089844,12.582577463626802,12.577662137243816,0.9560275046231953,0.1832461645857761,0.10542663615453748,30.18874175908519,11.138153994828286,0.9864691896207285,1.0876287779496014,1.0788436898972007,0.9604909898969537
106.0,0.8,86.09480235424789,12.542389643200568,12.524339262332733,0.9549019402627507,0.18365658615020458,0.10613391723783938,30.118704168101818,11.101127678972952,0.9851745404080114,1.0928194727474447,1.0736898775458834,0.9581449896138925
108.0,0.8,86.37146645111939,12.503006810821656,12.472992708170722,0.9539232983061021,0.18406442840119117,0.10684507073855219,30.025347685483734,11.065826160214,0.9839519213616601,1.097974709855263,1.068772800478764,0.9558138235839025
110.0,0.8,86.6428878234579,12.464340353824586,12.42360743448785,0.9530884226185656,0.18446876431642956,0.1075606927499186,29.91516762593665,11.032139409555914,0.9827914709551848,1.1030979708427626,1.0640876624238726,0.9534958539329226
112.0,0.8,86.90891902895744,12.426357891515508,12.376353698936983,0.9524127394611129,0.18486847780674037,0.10828169725555885,29.87833146719542,11.0000227669515,0.981689041008023,1.1081910880241805,1.0596520619735927,0.9511901892610859
114.0,0.8,87.17055094945363,12.388890077166481,12.33092833542017,0.95186609976003,0.18526354588558963,0.1090081335598245,29.806588220130685,10.969308719016022,0.9806304656363949,1.1132631703074893,1.0554279170895313,0.9488926418888438
116.0,0.8,87.42811371151569,12.351861478306697,12.28726968199058,0.9514428988330258,0.18565372551847067,0.1097403670872727,29.69851308977899,10.939914511264417,0.9796096482941863,1.1183184861079671,1.0514065797561796,0.9466012107777579
118.0,0.8,87.68170637153722,12.315225333188454,12.245414752855083,0.9511472095774955,0.18603862060415424,0.1104789774744908,29.59661294878751,10.911787466695424,0.9786229885662703,1.1233598805341196,1.0475910963451627,0.9443145372216625
120.0,0.8,87.93135689802469,12.278942047080754,12.205442372415883,0.9509871069701329,0.18641776707451282,0.11122470762918077,29.56400582923695,10.8848851235981,0.977667618837379,1.128389942801199,1.0439893087406804,0.9420313764280906
122.0,0.8,88.17793053528334,12.242907991155487,12.167013214583049,0.9509315453501925,0.18679192091448932,0.111977174409262,29.483131565843063,10.859077191813935,0.9767352849116309,1.133413655734349,1.0405612054791924,0.9397493935171496
124.0,0.8,88.42148732340395,12.207096690162523,12.13016785544482,0.9509854095472172,0.18716088668122793,0.11273694216887138,29.40105050491795,10.834325217578698,0.9758241230998053,1.1384326557412217,1.0373107187239616,0.9374677692032525
126.0,0.8,88.6622992335988,12.171468411869649,12.094838367127796,0.9511434426478144,0.18752481256349912,0.11350427657965927,29.317837820340298,10.810570167995445,0.9749311042622919,1.1434490014724705,1.0342294181332328,0.9351854899862785
128.0,0.8,88.90062394031132,12.135989249382312,12.060957641930658,0.9514005010075308,0.18788388828863212,0.11427942249763369,29.233568360725428,10.787757236341783,0.9740536333963323,1.1484643730960098,1.0313090818733874,0.9329017118124449
130.0,0.8,89.13670503521028,12.100630612092047,12.028459918964908,0.9517515641501556,0.1882383350641019,0.1150626057339103,29.148326366750553,10.7658354284745,0.9731894890985506,1.1534799537764242,1.0285417339248002,0.9306158145447906
132.0,0.8,89.37077229272077,12.065368861270583,11.997281184545841,0.9521917393262582,0.18858839729780735,0.11585403443282662,29.06214871085921,10.744757227268643,0.9723367724132501,1.158496649673788,1.025919671254641,0.9283273023292657
134.0,0.8,89.60304197819553,12.030184421915772,11.967359485203847,0.9527162734650249,0.18893433578536953,0.1166538996467163,28.975098724354858,10.724478680522886,0.9714938633057839,1.1635151546447091,1.023435483879895,0.9260357744401805
136.0,0.8,89.83371719608992,11.99506116404762,11.938635163739919,0.9533205593104154,0.18927642198592776,0.11746237612795948,28.887228456555594,10.704959006404911,0.9706593828267414,1.1685357689967062,1.0210820686726587,0.9237410084851065
138.0,0.8,90.06292896889804,11.959988413780327,11.9111039227874,0.9540049476772927,0.18961480093273037,0.1182798951319212,28.827479270617566,10.6861650707126,0.969832394397967,1.173558472788704,1.0188584341924751,0.9214429276555643
140.0,0.8,90.29097616708316,11.924953223160712,11.884609759200538,0.9547558560898145,0.18995001617412816,0.11910610201736657,28.74195883205289,10.66805092378149,0.9690114269326173,1.1785828854581208,1.0167469661339137,0.9191416199516703
142.0,0.8,90.51797534358082,11.889951255068498,11.859136273547794,0.9555723735105821,0.1902822468918452,0.11994128412224762,28.64863357524694,10.650588067303984,0.9681958675390563,1.183608457168188,1.014745468130623,0.9168372513012851
144.0,0.8,90.74407482546259,11.854979073051789,11.834635767377161,0.9564506196556578,0.19061175928074606,0.12078555559212786,28.547887077091364,10.633746406259277,0.9673850559293689,1.188634401950436,1.012848314181255,0.9145300967606406
146.0,0.8,90.96941261452749,11.820035347113954,11.81106283125045,0.9573868214022874,0.19093881546355643,0.12163901670472714,28.440056458167664,10.617497919737266,0.9665784476903214,1.1936597327462508,1.0110501509707457,0.912220525117526
148.0,0.8,91.19411668703742,11.785120268597172,11.788374324106348,0.958377311653928,0.19126367200822686,0.12250175383608293,28.325427183282873,10.601816179102663,0.9657756010443732,1.1986833591028707,1.0093458924228982,0.909908954588578
150.0,0.8,91.4182719285609,11.750239791765015,11.766598775217687,0.959424586507586,0.19158648036001347,0.12337432488714271,28.25074977505411,10.586676799264104,0.9649763171580581,1.2037034171829366,1.0077380731489614,0.9075961621322169
152.0,0.8,91.6420546306486,11.71539461444905,11.745588673829129,0.9605155156030915,0.19190767005873755,0.12425606807119792,28.14721908855132,10.57205442761976,0.9641800713211373,1.2087186372189527,1.0062104926066178,0.9052826547031093
