key,value,source
Insulin secretion (impairment)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|Lopt,4.657663041208887,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|L1,13.54091586394278,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|G0,0.3395177501971043,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|G1,8.883252822733894,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|class,Type0,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|u_opt,0.55,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|Lopt,4.729452765230298,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|L1,246.4177177514269,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|G0,,results/scans/*_classification.csv
Glucagon secretion (suppression)|civii|G1,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|civii|class,Type0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|civii|u_opt,0.05,results/scans/*_classification.csv
